hard_case_rank,Ref.No.,fco (MPa),type,Specimen,fy (MPa),fcy150 (MPa),R（%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN),raw_csv_row_num,actual_nexp_kn,predicted_nexp_kn,error_kn,abs_error_kn,pct_error,abs_pct_error,pred_actual_ratio,abs_log_ratio,Npl (kN),lambda_bar,e/h,xi,axial_flag,section_family,actual_psi,predicted_psi,regime_axiality,regime_section_family,regime_slenderness_state,regime_scale_npl,regime_eccentricity_severity,regime_confinement_level,is_top_abs_error,is_top_abs_pct_error,hard_case_reason,hardness_score
11,"H. J. Salani and J. R. Sims, “Behavior of Mortar Filled Steel Tubes in Compression,” JP, vol. 61, no. 10, pp. 1271–1284, Oct. 1964.",27.4,"Cylinder,size not specified, assumed as fcy150",40F,532,27.4,0,76.2,76.2,1.7,38.1,1524,0,0,226.4,8747,226.4,270.9227758595423,44.52277585954229,44.52277585954229,19.665537040433875,19.665537040433875,1.1966553704043388,0.1795304740139898,435.2509566079869,1.151499215968994,0.0,2.8162474884043966,axial,circular,0.5201596838853347,0.622451879189209,axial,circular,slender,scale_npl_q1,axial,high_conf,False,True,top_abs_pct_error,0.570952380952381
12,"Chen, Y., Li, Y., Yan, W., & Pan, D. (2011). Bearing capacity test of large size concrete filled steel tubular column. China Journal of Highway and Transport, 24(4), 33-38.",38,fcu150,PY-3-5,342,31.065,0,500,500,10,250,1500,0,0,15382,7949,15382.0,15944.229027075584,562.2290270755839,562.2290270755839,3.655110044698894,3.655110044698894,1.036551100446989,0.03589895264032506,14881.237031291565,0.155383997101839,0.0,1.164128684989231,axial,circular,1.0336506278110789,1.0714316957352947,axial,circular,very_stocky,scale_npl_q5,axial,mid_conf,True,False,top_abs_error,0.5599999999999999
13,"M. Dundu, “Column buckling tests of hot-rolled concrete filled square hollow sections of mild to high strength steel,” Engineering Structures, vol. 127, pp. 73–85, Nov. 2016.",28.8,"Cylinder,size not specified, assumed as fcy150",S2-5,517.49,28.8,0,63,63,4,0,2700,0,0,154.7,2369,154.7,201.12161575490035,46.42161575490036,46.42161575490036,30.007508568132103,30.007508568132103,1.300075085681321,0.2624220210159503,542.5111999999999,1.7913118797249037,0.0,5.227171717171717,axial,square,0.2851554032432879,0.37072343530400914,axial,square,slender,scale_npl_q1,axial,very_high_conf,False,True,top_abs_pct_error,0.5338095238095238
14,"R. B. Knowles and R. Park, “Strength of Concrete Filled Steel Tubular Columns,” Journal of the Structural Division, vol. 95, no. 12, pp. 2565–2588, 1969.",41.369,"Cylinder,size not specified, assumed as fcy150",BeamColumn-6,482.633,41.369,0,82.55,82.55,1.397,41.275,812.8,25.4,25.4,66.723,1449,66.723,112.86532969637454,46.142329696374546,46.142329696374546,69.15505852011232,69.15505852011232,1.6915505852011232,0.525645614319767,468.7439664905232,0.5703813600173185,0.3076923076923077,1.268005257540662,eccentric,circular,0.14234423218191752,0.24078246924732716,eccentric,circular,intermediate,scale_npl_q1,large_ecc,mid_conf,False,True,top_abs_pct_error,0.5233333333333333
15,"Experimental behaviour of cold-formed steel welded tube filled with concrete made of crushed crystallized slag subjected to eccentric load, Noureddine Ferhoune, Thin-Walled Structures, 2014",20,"Cylinder,size not specified, assumed as fcy150",P2EX1,270,20,100,103,68,2,0,300,20.6,20.6,263.1,3191,263.1,317.51565809191806,54.41565809191803,54.41565809191803,20.682500224978345,20.682500224978345,1.2068250022497835,0.18799294589540338,302.76,0.1415819501596532,0.3029411764705882,1.3892045454545454,eccentric,rectangular,0.8690051525961159,1.048737145236881,eccentric,rectangular,very_stocky,scale_npl_q1,large_ecc,mid_conf,False,True,top_abs_pct_error,0.511904761904762
16,"Engineering Structures | Behavior of stiffened circular concrete-filled steel tube stub columns under eccentric compression | Zheng Ming, Nie Xin, Hu Jun, Liang Huqing | 2025",55,fcu150,CCO-E1,419,46.729,0,433,433,6,216.5,1900,52,52,9043.1,6562,9043.1,8647.110577994314,-395.9894220056867,395.9894220056867,-4.378912342069497,4.378912342069497,0.956210876579305,0.044776808059485584,12811.318974739726,0.2586477466827507,0.1200923787528868,0.6733126019841053,eccentric,circular,0.7058679920334837,0.6749586514116114,eccentric,circular,stocky,scale_npl_q5,moderate_ecc,mid_conf,True,False,top_abs_error,0.5109523809523809
17,"R. B. Knowles and R. Park, “Strength of Concrete Filled Steel Tubular Columns,” Journal of the Structural Division, vol. 95, no. 12, pp. 2565–2588, 1969.",41.4,"Cylinder,size not specified, assumed as fcy150",BeamColumn-6,482.6,41.4,0,82.6,82.6,1.4,41.3,812.8,25.4,25.4,66.72,9342,66.72,115.2154392476335,48.4954392476335,48.4954392476335,72.68501086276005,72.68501086276005,1.7268501086276005,0.5462990024780732,469.8181068759992,0.5700655017908202,0.3075060532687651,1.268996078860587,eccentric,circular,0.14201240655377645,0.24523413968385582,eccentric,circular,intermediate,scale_npl_q1,large_ecc,mid_conf,False,True,top_abs_pct_error,0.5076190476190476
18,"H. Shakir-Khalil and Z. Zeghiche, “Experimental Behaviour of Concrete-Filled Rolled Rectangular Hollow-Section Columns,” The Structural Engineer, vol. 67, no. 19, pp. 345–353, 1989.",40,"Cylinder,size not specified, assumed as fcy150",3,384.7,40,0,120,80,4.47,0,3210,60,60,232,2723,232.0,291.22664986505674,59.22664986505674,59.22664986505674,25.528728390110665,25.528728390110665,1.2552872839011067,0.2273644578624986,942.02732616,1.512616752877456,0.75,1.9841499167579368,eccentric,rectangular,0.24627735688486346,0.30914883441034374,eccentric,rectangular,slender,scale_npl_q2,large_ecc,high_conf,False,True,top_abs_pct_error,0.4742857142857143
19,"Size effect of circular concrete-filled steel tubular short columns subjected to axial compression, Yuyin Wang; Peng Chen; Changyong Liu; Ying Zhang, Thin-Walled Structures, 2017",85.4,fcu150,CFST-MC-3,290,75.822,0,358,358,5.66,179,716,0,0,9609,4968,9609.0,10080.470114015412,471.47011401541204,471.47011401541204,4.906547133056635,4.906547133056635,1.0490654713305663,0.04789974055573999,10833.910213136398,0.1208822679901495,0.0,0.3439400743922501,axial,circular,0.8869373855756011,0.9304553864395683,axial,circular,very_stocky,scale_npl_q5,axial,low_conf,True,False,top_abs_error,0.4590476190476191
20,"S. H. Cai and W. L. Gu, “Behavior and Ultimate Strength of Long Concrete-Filled Steel Tubular Columns,” Journal of Building Structures, pp. 32–40, 1985.",28.99,"Cylinder,size not specified, assumed as fcy150",Cai-21,338.88,28.99,0,108,108,4,54,4320,0,0,373.38,806,373.38,302.70407559735634,-70.67592440264366,70.67592440264366,-18.928685093642848,18.928685093642848,0.8107131490635715,0.20984098772495305,890.9081134943403,1.95879557843527,0.0,2.9128645768416583,axial,circular,0.4191004597943556,0.3397702535338728,axial,circular,slender,scale_npl_q2,axial,high_conf,False,True,top_abs_pct_error,0.44476190476190475
21,"F. Zhou and B. Young, “Tests of concrete-filled aluminum stub columns,” Thin-Walled Structures, vol. 46, no. 6, pp. 573–583, Jun. 2008.",108.6,"Cylinder,size not specified, assumed as fcy150",R-B-C100,228,108.6,0,99.8,44.2,2.9,0,300,0,0,344,1805,344.0,414.0278597676957,70.0278597676957,70.0278597676957,20.35693597898131,20.35693597898131,1.2035693597898132,0.18529160831263689,567.08832,0.2725725539182628,0.0,0.4466444300771913,axial,rectangular,0.6066074504937785,0.7300941408345277,axial,rectangular,stocky,scale_npl_q1,axial,low_conf,False,True,top_abs_pct_error,0.4380952380952381
22,"F. Zhou and B. Young, “Tests of concrete-filled aluminum stub columns,” Thin-Walled Structures, vol. 46, no. 6, pp. 573–583, Jun. 2008.",74.4,"Cylinder,size not specified, assumed as fcy150",R-B-C70,228,74.4,0,99.7,44.1,2.9,0,300,0,0,271,1804,271.0,339.63833681450154,68.63833681450154,68.63833681450154,25.327799562546694,25.327799562546694,1.253277995625467,0.22576251533245723,442.3912080000001,0.2455233971064639,0.0,0.6533666967238559,axial,rectangular,0.6125799859928499,0.7677330170053955,axial,rectangular,very_stocky,scale_npl_q1,axial,mid_conf,False,True,top_abs_pct_error,0.43047619047619046
23,"H. Shakir-Khalil and Z. Zeghiche, “Experimental Behaviour of Concrete-Filled Rolled Rectangular Hollow-Section Columns,” The Structural Engineer, vol. 67, no. 19, pp. 345–353, 1989.",40,"Cylinder,size not specified, assumed as fcy150",3,384.7,40,0,120,80,4.5,0,3210,60,60,232,9795,232.0,301.74256575222495,69.74256575222495,69.74256575222495,30.061450755269377,30.061450755269377,1.3006145075526938,0.2628368508983873,945.3786,1.5119351278838469,0.75,1.9989170156071565,eccentric,rectangular,0.2454043279591901,0.31917642915994177,eccentric,rectangular,slender,scale_npl_q2,large_ecc,high_conf,False,True,top_abs_pct_error,0.4157142857142857
24,"WenjingWang, Zhenyun Tang, Zhenbao Li, and Hua Ma.Bearing Capacities of Different-Diameter Concrete-Filled
Steel Tubes under Axial Compression,Advances in Materials Science and Engineering,2016(2016), Article ID 7982365.",51.51,fcu150,CD8-2,278.8,43.471,0,820.8,820.8,9.3,410.4,2460,0,0,37221,7695,37221.0,35340.50360420824,-1880.496395791757,1880.496395791757,-5.052245763928312,5.052245763928312,0.9494775423607169,0.0518434010782663,36160.42145891091,0.1650880644723815,0.0,0.3889503997781874,axial,circular,1.029329816918595,0.9773255448464742,axial,circular,very_stocky,scale_npl_q5,axial,low_conf,True,False,top_abs_error,0.41428571428571426
25,"T. Yamamoto, J. Kawaguchi, and S. Morino, “Experimental Study of Scale Effects on the Compressive Behavior of Short Concrete-Filled Steel Tube Columns,” Composite Construction in Steel and Concrete IV, 2000.",39.2,"Cylinder,size not specified, assumed as fcy150",C30A-3I,335,39.2,0,318.4,318.4,10.4,159.2,955,0,0,7742,8690,7742.0,8182.236494454897,440.2364944548972,440.2364944548972,5.686340667203528,5.686340667203528,1.0568634066720353,0.0553054711695355,7795.214389587942,0.1514424573445973,0.0,1.858816380294405,axial,circular,0.9931734540028789,1.0496486800137146,axial,circular,very_stocky,scale_npl_q5,axial,high_conf,True,False,top_abs_error,0.41333333333333333
26,"D. Hernández-Figueirido, M. L. Romero, J. L. Bonet, and J. M. Montalvá, “Ultimate capacity of rectangular concrete-filled steel tubular columns under unequal load eccentricities,” Journal of Constructional Steel Research, vol. 68, no. 1, pp. 107–117, Jan. 2012.",26.1,"Cylinder,size not specified, assumed as fcy150",R100.150.5_30.275_50.50,396,26.1,0,150,100,5,0,2135,50,50,395,2877,395.0,472.3812390067961,77.38123900679608,77.38123900679608,19.590187090328122,19.590187090328122,1.1959018709032812,0.1789006044226086,1239.66,0.7781591945762623,0.5,2.769567597153804,eccentric,rectangular,0.31863575496507107,0.3810570954994079,eccentric,rectangular,intermediate,scale_npl_q2,large_ecc,high_conf,False,True,top_abs_pct_error,0.41095238095238096
27,"薄壁钢管混凝土柱轴心受压承载性能研究, 占美森, Unknown, 2007",9.55,"Cube,size not specified, assumed as fcu150",Z14,372.8,6.662,0,100,100,2.06,0,1000,0,0,386,3937,386.0,307.940052250411,-78.05994774958901,78.05994774958901,-20.222784391085234,20.222784391085234,0.7977721560891476,0.22593224098582698,382.3239928800001,0.3440420577379578,0.0,3.354839273349977,axial,square,1.0096149004207373,0.8054426559283817,axial,square,stocky,scale_npl_q1,axial,very_high_conf,False,True,top_abs_pct_error,0.4057142857142857
28,"S.-H. Lee, B. Uy, S.-H. Kim, Y.-H. Choi, and S.-M. Choi, “Behavior of high-strength circular concrete-filled steel tubular (CFST) column under eccentric loading,” Journal of Constructional Steel Research, vol. 67, no. 1, pp. 1–13, Jan. 2011.",31.5,"Cylinder,size not specified, assumed as fcy150",O57C30_30,479,31.5,0,300,300,12,150,1580,0,0,9823,1047,9823.0,9269.292707513614,-553.707292486386,553.707292486386,-5.63684508282995,5.63684508282995,0.9436315491717004,0.05801949710748684,9651.417573615136,0.2966656336534856,0.0,4.121209078674402,axial,circular,1.0177779507596825,0.960407384388158,axial,circular,stocky,scale_npl_q5,axial,very_high_conf,True,False,top_abs_error,0.40285714285714286
29,"M.-X. Xiong, D.-X. Xiong, and J. Y. R. Liew, “Axial performance of short concrete filled steel tubes with high- and ultra-high- strength materials,” Engineering Structures, vol. 136, pp. 494–510, Apr. 2017.",152.3,fcy100,S1,779,145.538,0,150,150,8,0,450,0,0,6536,2449,6536.0,6933.559583355481,397.55958335548075,397.55958335548075,6.08261296443514,6.08261296443514,1.0608261296443513,0.05904797216377441,6075.050800000001,0.1745546544894474,0.0,1.2214698013543577,axial,square,1.0758757770387697,1.1413171365341472,axial,square,very_stocky,scale_npl_q5,axial,mid_conf,True,False,top_abs_error,0.39095238095238094
30,"T. Yamamoto, J. Kawaguchi, and S. Morino, “Experimental Study of Scale Effects on the Compressive Behavior of Short Concrete-Filled Steel Tube Columns,” Composite Construction in Steel and Concrete IV, 2000.",24.2,"Cylinder,size not specified, assumed as fcy150",C30A-2A,335,24.2,0,318.3,318.3,10.4,159.2,955,0,0,6565,8697,6565.0,6975.216440365974,410.21644036597445,410.21644036597445,6.2485367915609205,6.2485367915609205,1.0624853679156092,0.060610850348064335,6748.999856928134,0.1443749314032748,0.0,3.0119935991133167,axial,circular,0.9727367223546093,1.0335185343359607,axial,circular,very_stocky,scale_npl_q5,axial,very_high_conf,True,False,top_abs_error,0.38047619047619047
31,"Y. Wang, P. Chen, C. Liu, and Y. Zhang, “Size effect of circular concrete-filled steel tubular short columns subjected to axial compression,” Thin-Walled Structures, vol. 120, no. Supplement C, pp. 397–407, Nov. 2017.",73.2,"Cylinder,size not specified, assumed as fcy150",CFST-LD-2,291,73.2,0,469,469,4.7,234.5,938,0,0,16670,9037,16670.0,15713.61705432623,-956.3829456737694,956.3829456737694,-5.737150243993818,5.737150243993818,0.9426284975600618,0.05908303201925372,15203.467040423897,0.1221050929774238,0.0,0.2519345775074804,axial,circular,1.0964604294321023,1.0335548472296427,axial,circular,very_stocky,scale_npl_q5,axial,low_conf,True,False,top_abs_error,0.37619047619047624
32,"Case Studies in Construction Materials | Experimental investigation on axial compressive performance of rectangular multi-cell stocky concrete-filled steel tubes stiffened with PBL | Aimin Xu, Pengfei Men, Dewei Liu... | 2024",65.1,fck150,SL-C60,378.8,65.1,0,304,294,6,0,750,0,0,12236,7360,12236.0,11512.378989144228,-723.6210108557716,723.6210108557716,-5.913869000128895,5.913869000128895,0.9408613099987111,0.060959536020305724,7969.768799999999,0.1180009571258257,0.0,0.486732292224907,axial,rectangular,1.5353017517898389,1.4445060174323037,axial,rectangular,very_stocky,scale_npl_q5,axial,low_conf,True,False,top_abs_error,0.37238095238095237
33,"L.-H. Han and G.-H. Yao, “Influence of concrete compaction on the strength of concrete-filled steel RHS columns,” Journal of Constructional Steel Research, vol. 59, no. 6, pp. 751–767, Jun. 2003.",22,"Cylinder,size not specified, assumed as fcy150",H-5-1,340.1,22,0,195,130,2.7,0,780,31,31,500,9804,500.0,593.4978164901796,93.49781649017962,93.49781649017962,18.699563298035923,18.699563298035923,1.1869956329803593,0.17142543658147036,1096.772388,0.2150060939857202,0.2384615384615384,1.1102672164274354,eccentric,rectangular,0.4558831034320313,0.5411312529233545,eccentric,rectangular,very_stocky,scale_npl_q2,moderate_ecc,mid_conf,False,True,top_abs_pct_error,0.36238095238095236
34,"J.-Y. Zhu and T.-M. Chan, “Experimental investigation on octagonal concrete filled steel stub columns under uniaxial compression,” Journal of Constructional Steel Research, vol. 147, pp. 457–467, Aug. 2018.",112.1,"Cylinder,size not specified, assumed as fcy150",80S-2,485,112.1,0,200,200,6,0,695,0,0,6298,2527,6298.0,5887.365698072592,-410.63430192740816,410.63430192740816,-6.520074657469167,6.520074657469167,0.9347992534253083,0.0674234749641926,6150.3824,0.1815702760064247,0.0,0.5523184087156224,axial,square,1.0240013694107866,0.9572357156316965,axial,square,very_stocky,scale_npl_q5,axial,mid_conf,True,False,top_abs_error,0.3604761904761905
35,"Experimental behaviour of concrete-filled rectangular thin welded steel stubs (compression load case), Noureddine Ferhoune; Jahid Zeghiche, C. R. Mecanique, 2012",30,"Cylinder,size not specified, assumed as fcy150",LP2/3,300,30,100,103,68,2,0,100,0,0,436,3923,436.0,345.3897997504506,-90.6102002495494,90.6102002495494,-20.782156020538853,20.782156020538853,0.7921784397946114,0.23296860977359488,385.68,0.0521189187615837,0.0,1.029040404040404,axial,rectangular,1.130470856668741,0.895534639469121,axial,rectangular,very_stocky,scale_npl_q1,axial,mid_conf,False,True,top_abs_pct_error,0.35809523809523813
36,"R. B. Knowles and R. Park, “Strength of Concrete Filled Steel Tubular Columns,” Journal of the Structural Division, vol. 95, no. 12, pp. 2565–2588, 1969.",41.5,"Cylinder,size not specified, assumed as fcy150",10',490,41.5,0,82.6,82.6,1.4,41.3,813,0,0,400.3,8797,400.3,310.30612758195247,-89.99387241804754,89.99387241804754,-22.481606899337383,22.481606899337383,0.7751839310066262,0.2546549474560474,474.3472832968786,0.5728186405888472,0.0,1.2853496600125758,axial,circular,0.8438964743674209,0.6541749863627698,axial,circular,intermediate,scale_npl_q1,axial,mid_conf,False,True,top_abs_pct_error,0.35619047619047617
37,"J. Y. R. Liew, M. Xiong, and D. Xiong, “Design of Concrete Filled Tubular Beam-columns with High Strength Steel and Concrete,” Structures, vol. 8, pp. 213–226, Nov. 2016.",148,fcy100,S3-3-5,446,141.429,0,150,150,12.5,0,450,0,0,6285,2506,6285.0,5867.680104341057,-417.3198956589431,417.3198956589431,-6.639934696244122,6.639934696244122,0.9336006530375588,0.06870649852678912,5100.0,0.1418893334572748,0.0,1.2054054054054053,axial,square,1.2323529411764707,1.150525510655109,axial,square,very_stocky,scale_npl_q5,axial,mid_conf,True,False,top_abs_error,0.35333333333333333
38,"S. Zhon, “Research of confining load of CFST under eccentric loading,” Journal of Harbin University of Civil Engineering and Architecture, pp. 1–18, 1983.",21.5,"Cylinder,size not specified, assumed as fcy150",A2,300.86,21.5,0,103.01,103.01,2,51.505,284.5,10.4,10.4,284.5,1371,284.5,371.7997730711804,87.29977307118043,87.29977307118043,30.6853332411882,30.6853332411882,1.306853332411882,0.2676222113689171,456.0126769021391,0.1279341507440763,0.1009610717406077,1.75480240635663,eccentric,circular,0.6238861645968102,0.8153277132490093,eccentric,circular,very_stocky,scale_npl_q1,moderate_ecc,high_conf,False,True,top_abs_pct_error,0.3457142857142857
39,"Behavior and general design method of concrete-filled high-strength steel tube (CFHST) columns, Chengliang Tu; Yongjiu Shi; Dong Liu; Wenhao Wang; Huiyong Ban, Engineering Structures, 2021",49.8,fcu150,C40-E1,530,41.882,0,300,300,10,150,1800,30,30,7335,6097,7335.0,6846.42524909871,-488.5747509012899,488.5747509012899,-6.660869132941921,6.660869132941921,0.9333913086705808,0.06893075698333198,10321.817848748417,0.3627008527417377,0.1,2.3660526438866967,eccentric,circular,0.7106306376923144,0.6632964608970386,eccentric,circular,stocky,scale_npl_q5,small_ecc,high_conf,True,False,top_abs_error,0.34428571428571425
40,"T. Yamamoto, J. Kawaguchi, S. Morino, Experimental study of the size effect on the
behaviour of concrete filled circular steel tube columns under axial compression, J.
Struct. Constr. Eng. AIJ 561 (2002) 237–244 (in Japanese).",39.2,fcy100,C30A-3A,339,37.46,0,318.3,318.3,10.35,159.15,903.9,0,0,7933,8535,7933.0,7391.005492047539,-541.9945079524614,541.9945079524614,-6.832150610770975,6.832150610770975,0.9316784938922903,0.0707674874450693,7830.924357296559,0.1439664426478016,0.0,1.871912651355472,axial,circular,1.0130349417317932,0.9438228687729412,axial,circular,very_stocky,scale_npl_q5,axial,high_conf,True,False,top_abs_error,0.32666666666666666
41,"Thin-Walled Structures | Axial and bending behaviour of steel tubes infilled with rubberised concrete | A. Mujdeci, Y.T. Guo, D.V. Bompa, A.Y. Elghazouli | 2022",6.2,fcy100,CFR60E00L1C,297,5.925,60,152,152,2.8,76,300,0,0,560,6839,560.0,665.2929375963113,105.29293759631128,105.29293759631128,18.802310285055583,18.802310285055583,1.188023102850556,0.17229066759526804,697.8587371568492,0.0835832748432987,0.0,5.686576165017852,axial,circular,0.8024546662287265,0.9533346824699588,axial,circular,very_stocky,scale_npl_q1,axial,very_high_conf,False,True,top_abs_pct_error,0.3261904761904762
42,"R. B. Knowles and R. Park, “Strength of Concrete Filled Steel Tubular Columns,” Journal of the Structural Division, vol. 95, no. 12, pp. 2565–2588, 1969.",41.5,"Cylinder,size not specified, assumed as fcy150",10',490,41.5,0,82.55,82.55,1.397,41.275,813,0,0,400.3,728,400.3,302.7795751194901,-97.52042488050989,97.52042488050989,-24.361834843994476,24.361834843994476,0.7563816515600552,0.27920920008055916,473.3986764495128,0.5731780641509523,0.0,1.283296610223744,axial,circular,0.8455874929821258,0.6395868644803469,axial,circular,intermediate,scale_npl_q1,axial,mid_conf,False,True,top_abs_pct_error,0.32571428571428573
